i,m,g,N,a,m,e
M,e,a,n
M,e,a,n
M,e,a,n
V,a,r
V,a,r
V,a,r
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_0.png,0.26716558419021913,0.26716558419021913,0.26716558419021913,0.20588122398051636,0.20588122398051636,0.20588122398051636
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_1.png,0.26716558419021913,0.2682975619446998,0.26925832711014097,0.20588122398051636,0.20629338526542845,0.206681984199398
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_10.png,0.27272600660137103,0.27332355274873626,0.27377380670285684,0.2072042640356035,0.20778597246065195,0.20806884948319623
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_100.png,0.253126615636489,0.25324410831227023,0.25348896699793194,0.19534716475444622,0.19562373014538587,0.1961102016301427
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_101.png,0.25324410831227023,0.25348896699793194,0.25371060838886333,0.19562373014538587,0.1961102016301427,0.19665353073892944
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_102.png,0.25348896699793194,0.25371060838886333,0.25379373887005974,0.1961102016301427,0.19665353073892944,0.1971059607119957
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_103.png,0.25371060838886333,0.25379373887005974,0.2539099749396829,0.19665353073892944,0.1971059607119957,0.1973576610473834
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_104.png,0.25379373887005974,0.2539099749396829,0.25415529737285536,0.1971059607119957,0.1973576610473834,0.1976836342895004
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_105.png,0.2539099749396829,0.25415529737285536,0.2546190897623698,0.1973576610473834,0.1976836342895004,0.19792327227789314
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_106.png,0.25415529737285536,0.2546190897623698,0.2553486244351257,0.1976836342895004,0.19792327227789314,0.19803228663466668
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_107.png,0.2546190897623698,0.2553486244351257,0.25604779112572756,0.19792327227789314,0.19803228663466668,0.19805896773200762
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_108.png,0.2553486244351257,0.25604779112572756,0.25580770455154717,0.19803228663466668,0.19805896773200762,0.19783360170579664
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_109.png,0.25604779112572756,0.25580770455154717,0.25550691193225333,0.19805896773200762,0.19783360170579664,0.19832417477473535
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_11.png,0.27332355274873626,0.27377380670285684,0.2739983352960325,0.20778597246065195,0.20806884948319623,0.207898145839562
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_110.png,0.25580770455154717,0.25550691193225333,0.25495240454580265,0.19783360170579664,0.19832417477473535,0.198783106959404
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_111.png,0.25550691193225333,0.25495240454580265,0.25442997053557753,0.19832417477473535,0.198783106959404,0.19898465644334576
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_112.png,0.25495240454580265,0.25442997053557753,0.25406355016371784,0.198783106959404,0.19898465644334576,0.19892686928776626
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_113.png,0.25442997053557753,0.25406355016371784,0.2539294972139247,0.19898465644334576,0.19892686928776626,0.1988043393897583
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_114.png,0.25406355016371784,0.2539294972139247,0.25385027118757664,0.19892686928776626,0.1988043393897583,0.19871430553302366
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_115.png,0.2539294972139247,0.25385027118757664,0.25379723941578586,0.1988043393897583,0.19871430553302366,0.19900925435479153
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_116.png,0.25385027118757664,0.25379723941578586,0.2536904877307368,0.19871430553302366,0.19900925435479153,0.19912196489764972
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_117.png,0.25379723941578586,0.2536904877307368,0.253529327990962,0.19900925435479153,0.19912196489764972,0.1988262709352339
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_118.png,0.2536904877307368,0.253529327990962,0.25326354082892927,0.19912196489764972,0.1988262709352339,0.19830927897948447
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_119.png,0.253529327990962,0.25326354082892927,0.2529131870643765,0.1988262709352339,0.19830927897948447,0.19793114008341478
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_12.png,0.27377380670285684,0.2739983352960325,0.27443020390529255,0.20806884948319623,0.207898145839562,0.2078612871101741
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_120.png,0.25326354082892927,0.2529131870643765,0.25264946432674634,0.19830927897948447,0.19793114008341478,0.19755109648810942
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_121.png,0.2529131870643765,0.25264946432674634,0.25234844731349576,0.19793114008341478,0.19755109648810942,0.19704425923480853
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_122.png,0.25264946432674634,0.25234844731349576,0.2520447375727636,0.19755109648810942,0.19704425923480853,0.1968593273216083
/media/sjh/disk1T/dataset/COVID-19-20_v2/train_2.5D_fold3/train_all/img/f1/volume-covid19-A-0003/volume-covid19-A-0003_123.png,0.25234844731349576,0.2520447375727636,0.2518136117972579,0.19704425923480853,0.1968593273216083,0.19681239842821208
